OperatingDate,UnitName,cyHighTemperature,cyImpactName,cyLowTemperature,cyTotal,cyWeather1,cyWeather2
6/15/2019,Dollywood Cabins              ,0,                         ,0,0,                                                            ,                                                            
6/15/2019,DreamMore Resort              ,0,                         ,0,304,                                                            ,                                                            
6/15/2019,Stone Mountain                ,86,No weather impact        ,61,4374,L61/H85/A74/Mostly Sunny/Comfortable                        ,                                                            
6/15/2019,White Water                   ,90,No weather impact        ,65,2571,L65/H85/A75/P0.02/Partly Cloudy/Uncomfortable               ,Cloudy                                                      
6/15/2019,Wild Adventures               ,92,No weather impact        ,65,7326,L65/H91/A80/Mostly Sunny/Sticky                             ,                                                            
6/15/2019,Newport Aquarium              ,77,No weather impact        ,64,5951,L64/H75/A70/P1.01/Mostly Cloudy/Sticky                      ,                                                            
6/15/2019,Adventure Aquarium            ,81,No weather impact        ,54,3273,L54/H81/A70/Mostly Sunny/Pleasant                           ,                                                            
6/16/2019,Silver Dollar City            ,88,No weather impact        ,65,6019,L65/H85/A75/P0.06/Partly Cloudy/Uncomfortable               ,                                                            
6/16/2019,Dollywood                     ,93,No weather impact        ,63,10839,L63/H91/A77/Mostly Sunny/Sticky                             ,                                                            
6/16/2019,Dollywood Splash Country      ,93,No weather impact        ,63,4471,L63/H91/A77/Mostly Sunny/Sticky                             ,                                                            
6/16/2019,Dollywood Cabins              ,0,                         ,0,443,                                                            ,                                                            
6/16/2019,DreamMore Resort              ,0,                         ,0,256,                                                            ,                                                            
